Date,Plant,Smp,Trmt,Tap_Lat,Diam,Tube_Mass,Tube_Smp,Smp_Mass,Plate,Raw_Abs,Abs_Blk,Abs_Mass,,,,,
3/15/2018,22,43,5,Tap,1.3,1727.591,1734.710,7.119,B7,0.064,0.039,0.005,,,,,
3/15/2018,33,65,5,Tap,1.3,1722.827,1724.721,1.894,D2,0.047,0.020,0.011,,,,,
3/15/2018,31,62,5,Lat,0.5,1747.999,1750.316,2.317,D3,0.060,0.034,0.015,,,,,
3/15/2018,36,71,5,Tap,1.5,1731.388,1733.172,1.784,H6,0.057,0.033,0.018,,,,,
3/15/2018,24,48,5,Lat,0.5,1722.865,1727.027,4.162,E10,0.103,0.080,0.019,,,,,
3/15/2018,33,66,5,Lat,0.6,1729.242,1730.283,1.041,A5,0.049,0.022,0.021,,,,,
3/15/2018,32,64,5,Lat,0.6,1766.641,1769.598,2.957,E7,0.091,0.065,0.022,,,,,
3/15/2018,32,63,5,Tap,1.5,1732.960,1735.243,2.283,H8,0.078,0.053,0.023,,,,,
3/15/2018,29,57,5,Tap,1.4,1737.936,1740.282,2.346,A11,0.087,0.060,0.026,,,,,
3/15/2018,24,47,5,Tap,1.4,1733.146,1736.994,3.848,D10,0.128,0.104,0.027,,,,,
3/15/2018,36,72,5,Lat,0.3,1727.794,1728.674,0.880,A2,0.050,0.024,0.027,,,,,
3/15/2018,30,60,5,Lat,0.5,1721.617,1724.737,3.120,A3,0.126,0.101,0.032,,,,,
3/15/2018,29,58,5,Lat,0.6,1722.750,1724.737,1.987,D11,0.102,0.074,0.037,,,,,
3/15/2018,30,59,5,Tap,1.3,1723.151,1725.191,2.040,D8,0.102,0.076,0.037,,,,,
3/15/2018,31,61,5,Tap,1.4,1731.552,1734.213,2.661,E2,0.133,0.106,0.040,,,,,
3/15/2018,38,76,5,Lat,0.8,1733.150,1734.420,1.270,H3,0.081,0.055,0.043,,,,,
3/15/2018,38,75,5,Tap,1.6,1730.868,1732.221,1.353,B1,0.096,0.072,0.053,,,,,
3/15/2018,26,51,5,Tap,1.2,1733.331,1735.517,2.186,B9,0.169,0.143,0.065,,,,,
3/15/2018,26,52,5,Lat,0.3,1778.456,1779.842,1.386,B3,0.119,0.094,0.068,,,,,
3/15/2018,22,44,5,Lat,0.5,1729.897,1730.515,0.618,G6,0.065,0.042,0.068,,,,,
3/15/2018,34,67,10,Tap,1.1,1742.050,1745.988,3.938,C2,0.052,0.026,0.007,,,,,
3/15/2018,35,69,10,Tap,1.3,1725.310,1728.623,3.313,H12,0.050,0.026,0.008,,,,,
3/15/2018,34,68,10,Lat,0.5,1735.183,1738.930,3.747,A1,0.058,0.034,0.009,,,,,
3/15/2018,25,50,10,Lat,0.4,1733.751,1736.964,3.213,D5,0.069,0.041,0.013,,,,,
